越す,こし,動詞,to cross over (e.g. mountain); to go across; to get over (e.g. hardship),隣に越してきた長野です,N3,1
日中,にっちゅう,名詞,daytime; during the day; Japan and China; Japanese-Chinese,あっ 日中は仕事だから,N3,1
詳しい,くわしい,形容詞,detailed; full; knowing very well; knowledgeable (about),事故の詳しい状況を調べています 怖いね うちも気をつけないと,N3,1
状況,じょうきょう,名詞,state of affairs; situation,事故の詳しい状況を調べています 怖いね うちも気をつけないと,N3,1
環境,かんきょう,名詞,environment; surroundings,社内環境の 向上が見込めます 以上です,N3,1
年間,ねんかん,名詞,(period of) a year; during the era (of),でも あの4年間で思い知った,N3,1
人生,じんせい,名詞,(one's) life,人生初の｢おばさん｣ いただきました,N3,1
数える,かぞえ,動詞,to count; to enumerate,ゲーム？ 今から 10数えます,N3,1
迷惑,めいわく,名詞,trouble; bother; to be troubled (by); to be bothered (by),ごめんなさい 迷惑かけて,N3,1
無事,ぶじ,名詞,safety; security; safely; without incident,いえ あの 無事でよかったです,N3,1
預ける,あずけ,動詞,to leave (in someone's keeping); to put (in someone's care); to put (someone) in charge of; to leave (a matter) in someone's hands,親が休んでるのに 預けっぱなしにするのはダメだから,N3,1
ゴール,ごーる,名詞,"goal (in soccer, hockey, etc.); basket (in basketball); finish line; finishing line",あそこ ゴール→,N3,1
秒,びょう,名詞,second (unit of time); arc second,朝は一分一秒が戦い,N3,1
戦い,たたかい,名詞,"battle; war; fight (against time, poverty, etc.); struggle (for freedom, survival, etc.)",朝は一分一秒が戦い,N3,1
後,のち,名詞,behind; rear; after; later,後でいいっすか 始業まで まだ4分あるんで,N3,1
提案,ていあん,名詞,proposal; proposition,来週は採用する提案を絞り…,N3,1
追う,おわ,動詞,"to chase; to run after; to follow (a set order, a trend, etc.)",こっちは ずっと時間に追われてるのに,N3,1
諦める,あきらめ,動詞,"to give up; to abandon (hope, plans)",仕事も家事も諦めない,N3,1
苦しい,くるしい,形容詞,painful; difficult; distressing; (psychologically) difficult,どうして こんなに苦しいんだろう,N3,1
種類,しゅるい,名詞,"variety; kind; counter for kinds, species, etc.",2種類に分けてあります 2種類？,N3,1
分ける,わけ,動詞,to divide (into); to split (into); to share; to distribute,2種類に分けてあります 2種類？,N3,1
残す,のこし,動詞,to leave (behind); to leave (undone); to not finish,あっ 大丈夫です 苺と夫の分は残したし,N3,1
トラック,とらっく,名詞,truck; lorry,恐竜がトラックを動かしています 篤正 しまって,N3,1
動かす,うごかし,動詞,to move; to shift; to inspire; to rouse,恐竜がトラックを動かしています 篤正 しまって,N3,1
食う,くっっ,動詞,to eat; to live; to make a living,ミーティングついでに 軽く食ってきちゃった,N3,1
絶対,ぜったい,名詞,absolutely; definitely; absolute; unconditional,明日！ 明日 絶対聞くから,N3,1
違反,いはん,名詞,violation; offense,ちょっとくらい ルール違反しても,N3,1
独り,ひとり,名詞,one person; being alone; being by oneself,独りじゃないんだって 思えるから,N3,1
抜く,ぬい,動詞,to pull out; to draw out; to omit; to leave out,手 抜いたっていいんです,N3,1
名,めい,名詞,name; given name; title,色んな名もなき家事,N3,1
邪魔,じゃま,名詞,hindrance; obstacle; to visit (someone's home),そこに いられては邪魔です,N3,1
他,ほか,名詞,another place; some other place; another (person or thing); other,中谷さんの他に私の友達に 立候補してくれる人はいませんか～！,N3,1
思う,おもっ,動詞,to think; to consider; to think (of doing); to plan (to do),何か決めた？ うちは英会話やろうかなって思って,N4,13
怖い,こわい,形容詞,scary; frightening,事故の詳しい状況を調べています 怖いね うちも気をつけないと,N4,7
選ぶ,えらん,動詞,to choose; to select,だから私は 専業主婦を選んだ,N4,6
気,き,名詞,spirit; mind; nature; disposition,事故の詳しい状況を調べています 怖いね うちも気をつけないと,N4,4
熱,ねつ,名詞,heat; fever; temperature,下のお子さん 熱があるんですか？,N4,4
連れる,つれ,動詞,to take (someone) with one; to bring along,小児科に連れていこうと思って,N4,4
気持ち,きもち,名詞,feeling; sensation; preparedness; readiness,ねえ 気持ちいいですね ねっ,N4,3
以上,いじょう,名詞,not less than ...; ... and over; beyond (e.g. one's expectations); above,社内環境の 向上が見込めます 以上です,N4,3
今度,こんど,名詞,this time; now; next time; another time,あの このお礼は今度 ちゃんと…,N4,3
関係,かんけい,名詞,relation; relationship; participation; involvement,関係ない,N4,3
場所,ばしょ,名詞,place; location; room; space,今日は初めての場所にお出かけするから,N4,2
決める,きめ,動詞,to decide; to choose; to clinch (a victory); to decide (the outcome of a match),何か決めた？ うちは英会話やろうかなって思って,N4,2
無理,むり,名詞,unreasonable; unnatural; impossible,無理で～す,N4,2
会議,かいぎ,名詞,meeting; conference,本日の社内会議は…,N4,2
時代,じだい,名詞,period; epoch; the times; those days,専業主婦なんて もう時代遅れなのかも,N4,2
子,こ,名詞,child; kid; (one's) child; offspring,どうしよう 鍵 あの子が持ってて,N4,2
勝つ,かっ,動詞,to win; to gain victory,俺 ゲーム勝ったよ,N4,2
戻る,もどっ,動詞,to turn back (e.g. half-way); to return; to go back,保険証 取りに戻ったら閉め出されちゃって,N4,2
急ぐ,いそい,動詞,to hurry; to rush,急いで急いで 篤正 ほら 行くよ,N4,2
聞こえる,きこえ,動詞,to be heard; to be audible; to sound (like); to come across (as),聞こえなかった？ しまうの！,N4,2
火事,かじ,名詞,fire; conflagration,｢対岸の火事｣と いう言葉がある,N4,2
以外,いがい,名詞,"excluding; except (for); outside (a boundary, scope, etc.)",はい 家族以外の人と話すの 久しぶりで,N4,1
久しぶり,ひさしぶり,名詞,a long time (since the last time); first in a long time; it's been a long time; long time no see,はい 家族以外の人と話すの 久しぶりで,N4,1
始める,はじめる,動詞,"to start; to begin; to start up (a business, society, etc.); to open (e.g. a store)",はい じゃ みんな始めるよ～ あっ,N4,1
珍しい,めずらしい,形容詞,rare; uncommon; new; novel,ああ さっき話してた人？ 珍しい,N4,1
金持ち,かねもち,名詞,rich person; wealthy person,家事なんて片手間でできるのに 旦那が お金持ちなのかな？,N4,1
遅れる,おくれ,動詞,"to be late; to be delayed; to fall behind (in a race, one's studies, etc.); to lag behind",時流に乗り遅れちゃったんじゃない？,N4,1
引っ越す,ひっこし,動詞,to move (house); to change residence,初めまして 隣に引っ越してきた長野…,N4,1
泣く,なか,動詞,to cry; to shed tears; to suffer (from); to be troubled (by),もう泣かないで,N4,1
事故,じこ,名詞,accident; incident; circumstances; reasons,事故の詳しい状況を調べています 怖いね うちも気をつけないと,N4,1
調べる,しらべ,動詞,to examine; to look up,事故の詳しい状況を調べています 怖いね うちも気をつけないと,N4,1
一杯,いっぱい,副詞,one cup (of); one glass (of); one drink (of alcohol),もう一杯 飲む？ おせんべい食べる？,N4,1
坂,さか,名詞,slope; incline; milestone; (age) mark,この坂,N4,1
下りる,くだりよう,動詞,to descend (e.g. a mountain); to go down; to alight (e.g. from bus); to get off,そこ のぼっちゃダメだよ 下りよう,N4,1
親,おや,名詞,parent; parents; dealer; banker,親が休んでるのに 預けっぱなしにするのはダメだから,N4,1
別,べつ,名詞,distinction; difference; separate; different,えっ そんな… 別に休んでるわけじゃないですよね,N4,1
最初,さいしょ,名詞,beginning; outset,勝った人が最初になる ママ 見て～,N4,1
戦争,せんそう,名詞,war; fighting; fierce competition,こっちは毎朝 戦争だってのに,N4,1
